Source_0,Source_1,Source_2,Source_3,Source_4,Source_5,Source_6,Source_7,TYPE
-0.050941,-0.058654,-0.099955,0.164346,0.047757,-0.133202,-0.117233,-0.069096,0
-0.012354,0.062895,-0.032378,-0.000839,0.068405,0.024569,0.101165,-0.015328,0
0.021976,0.012797,-0.035374,0.051528,-0.003331,0.030597,0.061229,0.026326,0
-0.031326,-0.072101,0.001731,0.019082,-0.004851,-0.001627,-0.067761,-0.005239,0
-0.075119,0.07493,-0.029537,0.037542,-0.033626,0.039289,0.031421,-0.02957,0
-0.016669,-0.01132,-0.028607,0.001378,0.012119,-0.058031,-0.044706,0.010535,0
-0.036828,-0.009804,-0.060649,-0.004564,0.053646,0.016656,0.000078,0.000618,0
0.032502,-0.045275,-0.009953,0.028937,-0.016258,-0.029307,-0.010722,-0.010883,0
0.01626,-0.042516,-0.028967,-0.013478,-0.015727,-0.015145,-0.035664,0.016638,0
0.131851,0.00682,-0.048441,-0.081156,-0.042121,-0.079965,-0.023282,-0.019472,0
0.038234,0.004463,-0.041198,-0.041628,0.010902,0.004677,-0.008776,0.013419,0
-0.012583,-0.018535,-0.057989,0.006656,0.033633,-0.043252,-0.038737,-0.015252,0
0.003686,-0.076303,0.02408,0.063682,-0.171916,0.04167,0.041435,-0.271835,0
0.002175,-0.028553,0.001838,0.009275,-0.048828,0.064012,0.036897,0.033065,0
0.012523,-0.03493,-0.044679,-0.030365,-0.049203,-0.003565,-0.038731,0.020411,0
-0.005951,-0.069631,-0.041652,-0.029598,0.007134,0.059396,-0.086788,0.033436,0
0.015003,-0.011185,-0.037011,-0.020709,0.037913,-0.03181,-0.038785,-0.020112,0
0.04905,-0.036283,-0.066424,0.006482,-0.010323,-0.061835,0.005836,-0.024691,0
0.004002,-0.042659,-0.048956,0.050738,0.149587,0.002797,0.012598,-0.06081,0
-0.036411,0.009639,-0.008227,0.008903,-0.007094,-0.032675,0.004416,0.014033,1
-0.027085,-0.004252,-0.012334,0.007407,-0.014361,-0.027176,0.007244,0.040044,1
-0.03502,0.027575,0.069885,0.010283,0.03124,-0.032777,0.007703,-0.011928,1
-0.053748,-0.027686,-0.052558,0.047234,-0.029866,-0.04687,-0.023793,0.010211,0
0.071844,0.010503,-0.059612,-0.014321,0.1628,-0.022307,0.103823,-0.07654,0
0.034102,-0.117223,-0.064621,0.090798,0.175918,-0.075678,-0.024709,-0.036276,0
-0.029512,-0.049294,-0.050041,0.108362,-0.025021,-0.043276,-0.056822,-0.04318,0
-0.011448,-0.023722,-0.073891,-0.050582,-0.010101,-0.013,-0.080101,0.016564,0
0.015444,0.040716,-0.020908,0.012913,-0.047363,0.018126,0.013099,-0.056431,0
-0.063856,-0.086688,-0.080976,-0.026153,0.065778,0.041762,-0.159774,0.008696,0
-0.061893,0.016604,-0.029599,0.025815,-0.026307,-0.001957,0.009416,-0.040554,0
0.025986,-0.028336,-0.062358,0.033629,0.00058,0.029031,-0.054209,-0.000514,0
-0.081802,-0.057295,-0.032173,-0.0017,0.08923,-0.006648,-0.171412,-0.005824,0
0.056318,-0.033244,-0.040208,0.02096,-0.020868,-0.001624,0.023581,0.003097,0
-0.004444,-0.059598,-0.039121,0.034996,0.058048,0.082686,0.048665,0.045473,0
0.008406,-0.007702,-0.070055,-0.009286,0.013664,-0.052141,0.012673,0.013747,0
-0.006225,-0.020267,-0.046301,-0.003292,-0.00014,0.015357,-0.00155,0.016492,0
-0.05002,-0.025861,-0.034712,-0.037386,-0.000439,0.034952,-0.08666,0.006287,0
0.009301,0.007592,0.032986,-0.010117,-0.030827,-0.002302,0.058615,-0.005919,1
0.064596,-0.045716,0.093965,0.106093,-0.127344,0.062527,0.049947,-0.068031,0
-0.04257,-0.041625,-0.021364,0.001687,0.014153,0.031368,-0.045186,0.070616,0
0.015988,-0.007651,-0.017481,-0.032407,0.018317,0.003192,-0.021882,0.042435,0
0.04632,0.021031,-0.014782,-0.083575,0.007309,-0.036488,-0.082188,-0.014664,0
-0.096496,-0.086436,-0.05413,0.029912,-0.004206,0.076923,-0.140448,-0.130332,0
-0.006499,-0.047216,-0.02901,0.007446,0.03134,-0.016665,-0.042978,0.03217,0
-0.018557,-0.026785,-0.030189,-0.029398,0.026474,0.020127,-0.060335,0.067508,0
-0.03681,-0.012346,-0.043921,0.052513,0.007022,0.006437,0.040055,0.001114,0
-0.016231,0.030275,0.084672,-0.027313,0.07068,0.008767,-0.024597,0.015178,1
0.014103,0.000105,-0.029924,-0.023769,0.000759,-0.037687,-0.028703,0.022063,0
-0.022649,0.013578,0.001379,-0.001869,0.006242,-0.04127,-0.014858,0.016853,1
0.030804,-0.000417,-0.015099,-0.045274,-0.014417,0.001391,-0.017808,0.018742,1
0.009007,-0.028017,0.048969,0.012378,-0.000128,0.029972,0.002762,0.019131,1
-0.016225,0.026162,-0.012148,-0.027291,-0.01374,-0.021477,0.003398,0.018184,1
-0.01852,-0.011418,0.031747,0.015111,0.014586,0.014163,0.008884,0.056827,1
0.032821,0.037587,-0.034995,0.05028,-0.06624,-0.009246,0.015608,0.008362,0
0.019322,-0.00455,-0.036916,-0.035999,0.017286,0.001586,-0.013308,0.025494,0
-0.007352,-0.015568,0.042323,0.015663,0.009772,0.009105,0.004632,0.027136,1
0.053783,-0.008812,-0.063509,0.050807,0.089818,-0.069457,0.052245,-0.041332,0
0.039356,-0.023934,-0.034514,-0.005277,-0.007488,-0.024689,-0.007091,0.015352,0
-0.004581,-0.015717,0.03555,0.026494,-0.012404,0.018266,0.022566,0.023816,1
-0.045544,0.045525,0.072267,-0.005358,0.06731,-0.027044,-0.011649,0.016826,1
-0.012302,0.00043,0.07854,0.037643,0.001081,-0.023452,0.013774,-0.033768,1
0.008425,-0.007145,0.09805,-0.026239,0.040924,0.025505,-0.020948,-0.04782,1
0.021331,-0.063017,-0.009981,0.034388,-0.03788,-0.012792,-0.02153,-0.049451,0
-0.015639,0.024996,0.07896,-0.005799,0.017141,-0.040611,-0.003804,-0.077418,1
0.01152,-0.05972,-0.018655,-0.009743,0.044781,0.004631,-0.076662,0.016602,0
0.048709,-0.029457,-0.037072,-0.018105,-0.027341,-0.00374,-0.007845,0.025262,0
0.049587,0.025784,0.050785,-0.066721,0.020601,-0.014603,-0.032758,-0.032352,1
0.006914,-0.003094,0.042004,-0.001749,0.007976,0.004335,0.010025,0.026527,1
0.003269,0.008474,0.068286,-0.006936,0.034787,-0.011944,-0.010518,-0.001533,1
-0.011393,0.008287,0.021851,0.0127,-0.01344,-0.00736,0.034564,0.041596,1
-0.04115,-0.035583,-0.037936,0.055357,0.078177,0.041955,-0.019823,-0.010492,0
-0.025027,-0.010788,0.099072,0.044834,0.017917,-0.011783,0.027529,-0.027614,1
0.059797,-0.064187,-0.058085,0.0305,0.051435,-0.018701,0.023805,0.012261,0
-0.055215,-0.019847,-0.029623,0.015077,0.011085,-0.019209,-0.028132,0.038083,0
0.000252,0.012025,0.005117,-0.01082,0.002488,-0.033898,0.000806,0.013455,1
-0.003742,-0.022806,-0.01028,0.055554,0.00289,0.004152,-0.013862,-0.004096,0
-0.032573,0.018242,0.014257,0.052105,-0.05219,-0.057351,0.056312,-0.002259,1
0.028536,-0.013894,-0.048811,0.149278,-0.02134,-0.051733,-0.009389,0.052751,0
0.021628,-0.048789,-0.065592,0.056474,-0.138347,0.010463,0.002073,-0.123887,0
0.015137,0.004631,-0.000932,-0.010739,-0.019172,-0.028313,0.012092,0.017497,1
0.05618,0.013036,0.009631,-0.051663,-0.012488,-0.034861,-0.031028,-0.029006,1
-0.00804,0.009107,-0.027787,-0.016779,-0.030751,-0.047597,-0.002708,0.020602,1
-0.073788,0.064171,-0.063132,-0.046363,0.036096,0.142124,0.017972,-0.134364,0
0.01609,-0.021824,-0.0025,-0.012731,-0.105568,0.072855,0.070718,-0.126878,0
0.007469,0.035674,-0.007231,-0.039473,0.002034,-0.055183,-0.021734,-0.001533,1
-0.011182,0.025045,-0.05327,-0.001212,0.01748,-0.011298,-0.013268,-0.053894,0
0.014691,-0.018057,-0.004309,-0.01288,-0.041539,0.000397,-0.003914,-0.041489,0
-0.013605,-0.033744,-0.051833,0.011393,0.049089,0.065015,0.015226,0.058813,0
0.022759,-0.011704,0.005672,-0.033686,-0.01344,0.000385,-0.026215,-0.000644,1
-0.043465,-0.018553,-0.005365,0.047095,-0.039839,-0.019037,0.009562,-0.006726,1
0.037608,-0.02681,0.0041,0.006813,-0.032005,0.035654,0.03527,0.050971,1
0.004723,-0.028887,-0.001615,0.017402,-0.039619,0.049126,0.04663,0.063472,0
-0.019413,0.013798,-0.012967,-0.000441,0.021649,-0.05181,-0.028896,-0.01233,1
0.014004,0.007274,-0.007513,-0.01707,-0.019899,-0.027898,0.003943,0.0009,1
-0.028016,-0.058538,-0.021519,0.044744,-0.010038,0.004591,-0.008096,0.00804,0
0.029957,0.043612,-0.044641,-0.013865,-0.000412,0.039408,0.037531,-0.024435,0
-0.001587,-0.013054,0.044691,0.022094,-0.025335,-0.003272,0.037297,-0.002288,1
0.02113,-0.000063,0.071229,-0.020017,0.020412,0.001738,-0.003417,-0.029188,1
-0.033013,0.021656,0.015253,0.009675,0.013057,-0.043507,0.002593,0.030053,1
0.026421,0.011233,-0.036174,-0.049519,-0.034846,-0.037181,-0.014258,-0.035286,0
0.061569,-0.028842,-0.016295,-0.019595,0.009545,0.000887,-0.033965,0.021789,0
-0.037503,0.062833,0.108238,-0.045223,0.09479,-0.01202,-0.039837,-0.050336,1
0.062461,0.044882,-0.007479,-0.079412,-0.010796,-0.035827,-0.020939,0.000681,1
0.009113,0.006269,0.042639,-0.033607,0.023724,-0.002976,-0.029227,0.006452,1
0.003502,-0.018598,0.061429,0.011764,0.006337,0.007333,0.00497,0.000618,1
0.001178,-0.0173,-0.028332,0.025017,-0.001961,-0.067329,-0.009229,0.01658,0
0.036827,0.024708,0.001117,-0.050715,-0.015257,-0.051609,-0.028052,-0.033088,1
0.028633,0.029734,-0.007189,-0.047049,-0.00766,-0.029092,-0.001449,0.035425,1
-0.05155,-0.003439,-0.082667,0.07985,0.010408,0.01837,-0.095027,-0.125241,0
0.016454,-0.004971,0.018194,-0.031369,0.020221,0.007535,-0.03268,0.032789,1
-0.020356,-0.005989,0.069864,0.004919,0.025229,-0.004113,-0.016036,-0.029923,1
0.005024,-0.036793,0.031943,0.004887,-0.041758,0.009524,0.02741,-0.024251,1
-0.005579,-0.05304,-0.005457,0.030111,-0.08366,-0.007773,0.041042,-0.027087,1
0.011052,-0.03746,0.069017,0.0261,-0.010556,0.013642,0.034672,0.003604,1
-0.046586,0.012839,0.071212,-0.007983,0.066923,0.011674,-0.035761,0.026387,1
0.010522,-0.032112,0.02864,0.012094,0.011352,0.02124,-0.00273,0.049194,1
-0.03841,-0.021701,0.105701,0.029253,0.021676,0.005925,0.02786,-0.052443,1
-0.004921,-0.008296,-0.067905,-0.010388,0.007828,-0.069228,-0.04711,-0.014371,0
0.059513,-0.05486,-0.037871,0.036597,-0.006935,-0.025691,0.032544,0.015187,0
0.01312,0.042047,-0.030189,-0.024156,-0.01751,0.012548,0.034479,-0.010989,0
-0.051283,0.037283,0.004883,-0.003494,0.025382,-0.057743,-0.013481,0.025355,1
0.01696,0.041736,-0.04325,0.02283,-0.013103,-0.031593,0.021763,-0.043867,0
0.059017,0.149039,-0.046142,0.114883,-0.153576,0.056569,-0.037638,-0.017835,0
-0.036854,0.039425,-0.027393,0.008464,-0.038255,-0.069015,0.028587,0.002018,1
0.003837,0.024923,-0.004695,-0.018823,-0.022799,-0.031101,0.029127,0.020078,1
-0.019414,0.01253,-0.014473,-0.017346,-0.001604,-0.011638,-0.001747,0.031814,1
-0.004372,-0.030659,-0.039015,-0.056345,0.036759,0.031437,-0.089001,0.041095,0
-0.03514,0.039545,-0.026964,-0.002313,0.004633,0.033445,0.00186,-0.059514,0
-0.007003,-0.020653,-0.011731,0.058989,-0.076229,-0.023466,0.05356,0.032912,1
0.04738,0.025354,-0.058705,-0.025919,-0.017901,0.046705,0.056051,0.033076,0
-0.062261,0.005619,0.005612,0.004801,0.002857,-0.029795,-0.019551,0.002326,1
0.009715,-0.029341,-0.03401,0.026922,0.007896,-0.021754,0.012033,0.021189,0
