@relation 'AT: bcORIG-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R31-weka.filters.unsupervised.attribute.Standardize_principal components'

@attribute -0.2628.00-0.2597.00-0.25228.00-0.24123.00-0.2396.00... numeric
@attribute 0.35210.00+0.29330.00+0.24920.00-0.2331.00-0.2324.00... numeric
@attribute -0.40212.00-0.30219.00+0.27125.00-0.26813.00-0.26411.00... numeric
@attribute -0.63322.00-0.62.00-0.33712.00+0.1595.00+0.12114.00... numeric
@attribute 0.34317.00-0.3425.00-0.3129.00-0.30125.00+0.27916.00... numeric
@attribute 0.48329.00+0.46119.00-0.43315.00-0.35425.00+0.3469.00... numeric
@attribute '0.58 15.00-0.38810.00+0.31518.00-0.27420.00-0.26630.00...' numeric
@attribute 0.44415.00-0.4015.00-0.37112.00-0.33918.00+0.24730.00... numeric
@attribute TYPE {0,1}

@data
-9.383543,2.595746,0.521097,3.811391,-0.876526,0.722355,-1.407866,1.237799,0
-2.315305,-3.705695,0.93773,0.959744,0.413862,-0.404812,0.260037,0.89157,0
-5.648363,-1.050368,0.676724,0.885305,-0.375374,0.260569,1.064515,-0.10965,0
-6.843686,10.35644,2.559718,0.304473,-2.646042,2.826073,-0.940992,1.048868,0
-4.081873,-1.692486,-1.101443,2.898752,1.067965,-0.963995,0.139154,-0.166368,0
-2.383316,4.583702,2.442637,0.93234,-0.714184,-0.784294,-0.960977,0.180234,0
-2.120651,-2.787846,2.03095,-0.008926,0.432984,0.372612,-0.604836,-0.512586,0
-2.061655,2.340305,1.021184,-0.306084,-1.098857,-1.495932,-1.563365,0.337917,0
-3.107919,3.606956,2.83033,-0.678141,-1.64719,0.406958,0.553754,-0.24951,0
-6.130032,7.888779,3.795025,-3.540692,1.383902,-0.628601,-1.550878,1.998627,0
0.777565,-2.783338,0.770467,-1.729453,0.574985,0.304557,-1.07756,-0.201131,0
