@relation irisORIG_clustered

@attribute Instance_number numeric
@attribute 150 numeric
@attribute 4 numeric
@attribute setosa numeric
@attribute versicolor numeric
@attribute virginica {0,1,2}
@attribute Cluster {cluster0,cluster1,cluster2}

@data
0,5.1,3.5,1.4,0.2,0,cluster2
1,4.9,3,1.4,0.2,0,cluster2
2,4.7,3.2,1.3,0.2,0,cluster2
3,4.6,3.1,1.5,0.2,0,cluster2
4,5,3.6,1.4,0.2,0,cluster2
5,5.4,3.9,1.7,0.4,0,cluster2
6,4.6,3.4,1.4,0.3,0,cluster2
7,5,3.4,1.5,0.2,0,cluster2
8,4.4,2.9,1.4,0.2,0,cluster2
9,4.9,3.1,1.5,0.1,0,cluster2
10,5.4,3.7,1.5,0.2,0,cluster2
11,4.8,3.4,1.6,0.2,0,cluster2
12,4.8,3,1.4,0.1,0,cluster2
13,4.3,3,1.1,0.1,0,cluster2
14,5.8,4,1.2,0.2,0,cluster2
15,5.7,4.4,1.5,0.4,0,cluster2
16,5.4,3.9,1.3,0.4,0,cluster2
17,5.1,3.5,1.4,0.3,0,cluster2
18,5.7,3.8,1.7,0.3,0,cluster2
19,5.1,3.8,1.5,0.3,0,cluster2
20,5.4,3.4,1.7,0.2,0,cluster2
21,5.1,3.7,1.5,0.4,0,cluster2
22,4.6,3.6,1,0.2,0,cluster2
23,5.1,3.3,1.7,0.5,0,cluster2
24,4.8,3.4,1.9,0.2,0,cluster2
25,5,3,1.6,0.2,0,cluster2
26,5,3.4,1.6,0.4,0,cluster2
27,5.2,3.5,1.5,0.2,0,cluster2
28,5.2,3.4,1.4,0.2,0,cluster2
29,4.7,3.2,1.6,0.2,0,cluster2
30,4.8,3.1,1.6,0.2,0,cluster2
31,5.4,3.4,1.5,0.4,0,cluster2
32,5.2,4.1,1.5,0.1,0,cluster2
33,5.5,4.2,1.4,0.2,0,cluster2
34,4.9,3.1,1.5,0.2,0,cluster2
35,5,3.2,1.2,0.2,0,cluster2
36,5.5,3.5,1.3,0.2,0,cluster2
37,4.9,3.6,1.4,0.1,0,cluster2
38,4.4,3,1.3,0.2,0,cluster2
39,5.1,3.4,1.5,0.2,0,cluster2
40,5,3.5,1.3,0.3,0,cluster2
41,4.5,2.3,1.3,0.3,0,cluster2
42,4.4,3.2,1.3,0.2,0,cluster2
43,5,3.5,1.6,0.6,0,cluster2
44,5.1,3.8,1.9,0.4,0,cluster2
45,4.8,3,1.4,0.3,0,cluster2
46,5.1,3.8,1.6,0.2,0,cluster2
47,4.6,3.2,1.4,0.2,0,cluster2
48,5.3,3.7,1.5,0.2,0,cluster2
49,5,3.3,1.4,0.2,0,cluster2
50,7,3.2,4.7,1.4,1,cluster1
51,6.4,3.2,4.5,1.5,1,cluster1
52,6.9,3.1,4.9,1.5,1,cluster1
53,5.5,2.3,4,1.3,1,cluster1
54,6.5,2.8,4.6,1.5,1,cluster1
55,5.7,2.8,4.5,1.3,1,cluster1
56,6.3,3.3,4.7,1.6,1,cluster1
57,4.9,2.4,3.3,1,1,cluster1
58,6.6,2.9,4.6,1.3,1,cluster1
59,5.2,2.7,3.9,1.4,1,cluster1
