Source_0,Source_1,Source_2,virginica
-0.034779,0.075756,0.08588,0
-0.111769,0.02097,0.058551,0
-0.086779,0.074928,0.026675,0
-0.101052,0.068092,0.001588,0
-0.021749,0.102115,0.067583,0
0.044829,0.121125,0.096007,0
-0.051739,0.125737,-0.008336,0
-0.050122,0.070159,0.065511,0
-0.134948,0.06062,-0.024994,0
-0.102196,0.024756,0.06318,0
0.000809,0.072227,0.129435,0
-0.052435,0.090923,0.026845,0
-0.119679,0.02164,0.052249,0
-0.131347,0.080367,-0.018463,0
0.04853,0.078014,0.207515,0
0.121371,0.167389,0.149747,0
0.040549,0.126084,0.114883,0
-0.02856,0.086087,0.075209,0
0.028963,0.062431,0.158923,0
0.016675,0.13092,0.066519,0
-0.041216,0.023674,0.123968,0
0.008171,0.125894,0.057171,0
-0.032794,0.151081,0.018563,0
-0.042357,0.072314,0.042357,0
-0.049225,0.087203,0.012689,0
-0.107938,0.007488,0.066087,0
-0.036615,0.089582,0.03945,0
-0.032017,0.063514,0.098135,0
-0.047809,0.049396,0.104177,0
-0.083569,0.071209,0.012519,0
-0.096599,0.044849,0.030816,0
-0.030919,0.046816,0.112064,0
0.050094,0.14533,0.100864,0
0.075038,0.139254,0.144509,0
-0.095978,0.035088,0.052509,0
-0.082775,0.043163,0.082315,0
-0.029083,0.032989,0.158494,0
-0.029658,0.102785,0.06128,0
-0.121297,0.077217,-0.021598,0
-0.04843,0.059158,0.082485,0
-0.031322,0.098328,0.062954,0
-0.216438,-0.030958,-0.00603,0
-0.091854,0.107933,-0.024246,0
-0.009456,0.125602,0.016784,0
0.027173,0.136292,0.036972,0
-0.107242,0.042302,0.030906,0
0.011526,0.119349,0.072471,0
-0.087401,0.08469,0.004983,0
-0.000883,0.083228,0.112461,0
-0.065913,0.056042,0.071554,0
0.063125,-0.096289,0.128576,1
0.057055,-0.017469,0.0255,1
0.05507,-0.092794,0.092817,1
-0.10845,-0.071138,-0.070413,1
0.00093,-0.091142,0.04305,1
-0.026109,-0.022552,-0.066679,1
0.078443,0.016742,-0.012906,1
-0.130022,-0.012086,-0.108534,1
0.004906,-0.107448,0.080042,1
-0.049489,0.034869,-0.132582,1
-0.185077,-0.086998,-0.095703,1
0.015944,0.010543,-0.042565,1
-0.133369,-0.172497,0.047793,1
0.003737,-0.043349,-0.020216,1
-0.022709,0.014967,-0.042507,1
0.040119,-0.074923,0.093135,1
0.01408,0.039828,-0.107642,1
-0.062074,-0.074945,0.002508,1
-0.093544,-0.149044,0.00479,1
-0.090822,-0.070847,-0.030026,1
0.070462,0.064813,-0.105539,1
-0.024693,-0.060359,0.02481,1
-0.043408,-0.118932,-0.001083,1
-0.023422,-0.079369,0.00245,1
-0.001687,-0.081725,0.060251,1
0.023706,-0.079279,0.077485,1
0.001926,-0.136957,0.095205,1
0.050473,-0.066726,0.034132,1
0.006124,-0.019536,-0.038424,1
-0.084907,-0.071862,0.015171,1
-0.108305,-0.073963,-0.040957,1
-0.115593,-0.083054,-0.025567,1
-0.051777,-0.051803,-0.009397,1
-0.010681,-0.04736,-0.07476,1
0.010697,0.061831,-0.14159,1
0.08595,0.067584,-0.055714,1
0.049547,-0.068311,0.068307,1
-0.090638,-0.16411,0.046501,1
-0.002637,0.024125,-0.067424,1
-0.079006,-0.040423,-0.073061,1
-0.066224,-0.040356,-0.082588,1
0.017389,-0.026751,-0.016821,1
-0.065429,-0.068401,-0.012792,1
-0.143052,-0.038445,-0.090236,1
-0.045732,-0.023188,-0.068172,1
-0.006094,0.001552,-0.044498,1
-0.014597,-0.003474,-0.053846,1
-0.00507,-0.059722,0.026304,1
-0.108909,-0.00468,-0.072425,1
-0.030389,-0.017592,-0.047803,1
0.148319,0.093604,-0.170292,2
0.004591,0.005637,-0.140722,2
0.091742,-0.080567,0.016873,2
0.041623,-0.035186,-0.071423,2
0.086742,-0.002986,-0.090922,2
0.107689,-0.144254,0.068709,2
-0.058932,0.060712,-0.241182,2
0.066028,-0.153881,0.065282,2
-0.008357,-0.143103,-0.007671,2
0.208777,0.039424,-0.026219,2
0.096258,0.015746,-0.039195,2
0.01688,-0.062852,-0.048317,2
0.082388,-0.042603,-0.015173,2
-0.021395,-0.002506,-0.161,2
0.050405,0.07265,-0.195402,2
0.115362,0.055261,-0.097621,2
0.058658,-0.040591,-0.034081,2
0.234442,-0.023301,0.059703,2
0.066141,-0.199744,0.055479,2
-0.091577,-0.13324,-0.052752,2
0.128099,-0.004706,-0.031627,2
0.020009,0.055808,-0.177226,2
0.074789,-0.197542,0.094283,2
0.004691,-0.057223,-0.035744,2
0.127001,0.011993,-0.045556,2
0.105291,-0.093086,0.058494,2
0.016651,-0.029623,-0.049323,2
0.045472,0.010854,-0.073663,2
0.047249,-0.030552,-0.08514,2
0.061271,-0.141984,0.091921,2
0.057076,-0.167429,0.082346,2
0.222178,-0.062247,0.12915,2
0.053467,-0.020221,-0.095811,2
0.002897,-0.075338,-0.014492,2
-0.030798,-0.100581,-0.058714,2
0.116468,-0.128393,0.087935,2
0.152542,0.10359,-0.142069,2
0.071688,-0.014232,-0.052378,2
0.042711,0.023095,-0.085918,2
0.097731,-0.037006,0.005195,2
0.115143,0.01351,-0.070203,2
0.106958,-0.012624,-0.001991,2
0.004591,0.005637,-0.140722,2
0.128548,0.003816,-0.058039,2
0.151875,0.053317,-0.088241,2
0.089923,-0.007219,-0.039333,2
-0.017464,-0.078847,-0.048487,2
0.067885,-0.016209,-0.041267,2
0.142492,0.10674,-0.138934,2
0.044229,0.030377,-0.117048,2
