@relation irisORIG-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.RandomProjection-N2-R42-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute virginica {0,1,2}

@data
2.771281,2.424871,0
2.771281,2.424871,0
2.598076,2.251666,0
2.944486,2.598076,0
2.771281,2.424871,0
3.637307,2.944486,0
2.944486,2.424871,0
2.944486,2.598076,0
2.771281,2.424871,0
2.771281,2.598076,0
2.944486,2.598076,0
3.117691,2.771281,0
2.598076,2.424871,0
2.078461,1.905256,0
2.424871,2.078461,0
3.290897,2.598076,0
2.944486,2.251666,0
2.944486,2.424871,0
3.464102,2.944486,0
3.117691,2.598076,0
3.290897,2.944486,0
3.290897,2.598076,0
2.078461,1.732051,0
3.810512,2.944486,0
3.637307,3.290897,0
3.117691,2.771281,0
3.464102,2.771281,0
2.944486,2.598076,0
2.771281,2.424871,0
3.117691,2.771281,0
3.117691,2.771281,0
3.290897,2.598076,0
2.771281,2.598076,0
2.771281,2.424871,0
2.944486,2.598076,0
2.424871,2.078461,0
2.598076,2.251666,0
2.598076,2.424871,0
2.598076,2.251666,0
2.944486,2.598076,0
2.771281,2.251666,0
2.771281,2.251666,0
2.598076,2.251666,0
3.810512,2.771281,0
3.983717,3.290897,0
2.944486,2.424871,0
3.117691,2.771281,0
2.771281,2.424871,0
2.944486,2.598076,0
2.771281,2.424871,0
10.56551,8.140639,1
10.392305,7.794229,1
11.085125,8.487049,1
9.179869,6.928203,1
10.56551,7.967434,1
10.045895,7.794229,1
10.91192,8.140639,1
7.447818,5.715768,1
10.2191,7.967434,1
9.179869,6.754998,1
7.794229,6.062178,1
9.87269,7.274613,1
8.660254,6.928203,1
10.56551,8.140639,1
8.487049,6.235383,1
10.045895,7.621024,1
10.392305,7.794229,1
8.833459,7.101408,1
10.392305,7.794229,1
8.660254,6.754998,1
11.431535,8.313844,1
9.179869,6.928203,1
11.085125,8.487049,1
10.2191,8.140639,1
9.699485,7.447818,1
10.045895,7.621024,1
10.738715,8.313844,1
11.60474,8.660254,1
10.392305,7.794229,1
7.794229,6.062178,1
8.487049,6.581793,1
8.140639,6.408588,1
8.833459,6.754998,1
11.60474,8.833459,1
10.392305,7.794229,1
10.56551,7.794229,1
10.738715,8.140639,1
9.87269,7.621024,1
9.353074,7.101408,1
9.179869,6.928203,1
9.699485,7.621024,1
10.392305,7.967434,1
9.006664,6.928203,1
7.447818,5.715768,1
9.526279,7.274613,1
9.353074,7.274613,1
9.526279,7.274613,1
9.699485,7.447818,1
7.101408,5.196152,1
9.353074,7.101408,1
14.722432,10.392305,2
12.124356,8.833459,2
13.856406,10.2191,2
12.817176,9.699485,2
13.856406,10.045895,2
15.068842,11.431535,2
10.738715,7.794229,2
14.029612,10.91192,2
13.163586,10.045895,2
14.895637,10.56551,2
12.297561,8.833459,2
12.470766,9.179869,2
13.163586,9.526279,2
12.124356,8.660254,2
12.990381,8.833459,2
13.163586,9.179869,2
12.643971,9.526279,2
15.415252,11.60474,2
15.934867,11.951151,2
11.25833,8.660254,2
13.856406,9.87269,2
11.951151,8.487049,2
15.068842,11.60474,2
11.60474,8.487049,2
13.509996,9.87269,2
13.509996,10.392305,2
11.431535,8.313844,2
11.60474,8.487049,2
13.336791,9.699485,2
12.817176,10.045895,2
13.856406,10.56551,2
14.549227,11.085125,2
13.509996,9.699485,2
11.431535,8.833459,2
12.124356,9.699485,2
14.549227,10.56551,2
13.856406,9.699485,2
12.643971,9.526279,2
11.431535,8.313844,2
12.990381,9.353074,2
13.856406,9.699485,2
12.817176,8.833459,2
12.124356,8.833459,2
14.202817,10.2191,2
14.202817,9.87269,2
12.990381,9.006664,2
11.951151,8.660254,2
12.470766,9.006664,2
13.336791,9.353074,2
11.951151,8.833459,2
