K1,K2,virginica
6.062178,6.062178,0
5.196152,5.196152,0
5.542563,5.542563,0
5.369358,5.369358,0
6.235383,6.235383,0
6.754998,6.754998,0
5.888973,5.888973,0
5.888973,5.888973,0
5.022947,5.022947,0
5.369358,5.369358,0
6.408588,6.408588,0
5.888973,5.888973,0
5.196152,5.196152,0
5.196152,5.196152,0
6.928203,6.928203,0
7.621024,7.621024,0
6.754998,6.754998,0
6.062178,6.062178,0
6.581793,6.581793,0
6.581793,6.581793,0
5.888973,5.888973,0
6.408588,6.408588,0
6.235383,6.235383,0
5.715768,5.715768,0
5.888973,5.888973,0
5.196152,5.196152,0
5.888973,5.888973,0
6.062178,6.062178,0
5.888973,5.888973,0
5.542563,5.542563,0
5.369358,5.369358,0
5.888973,5.888973,0
7.101408,7.101408,0
7.274613,7.274613,0
5.369358,5.369358,0
5.542563,5.542563,0
6.062178,6.062178,0
6.235383,6.235383,0
5.196152,5.196152,0
5.888973,5.888973,0
6.062178,6.062178,0
3.983717,3.983717,0
5.542563,5.542563,0
6.062178,6.062178,0
6.581793,6.581793,0
5.196152,5.196152,0
6.581793,6.581793,0
5.542563,5.542563,0
6.408588,6.408588,0
5.715768,5.715768,0
5.542563,5.542563,1
5.542563,5.542563,1
5.369358,5.369358,1
3.983717,3.983717,1
4.849742,4.849742,1
4.849742,4.849742,1
5.715768,5.715768,1
4.156922,4.156922,1
5.022947,5.022947,1
4.676537,4.676537,1
3.464102,3.464102,1
5.196152,5.196152,1
3.810512,3.810512,1
5.022947,5.022947,1
5.022947,5.022947,1
5.369358,5.369358,1
5.196152,5.196152,1
4.676537,4.676537,1
3.810512,3.810512,1
4.330127,4.330127,1
5.542563,5.542563,1
4.849742,4.849742,1
4.330127,4.330127,1
4.849742,4.849742,1
5.022947,5.022947,1
5.196152,5.196152,1
4.849742,4.849742,1
5.196152,5.196152,1
5.022947,5.022947,1
4.503332,4.503332,1
4.156922,4.156922,1
4.156922,4.156922,1
4.676537,4.676537,1
4.676537,4.676537,1
5.196152,5.196152,1
5.888973,5.888973,1
5.369358,5.369358,1
3.983717,3.983717,1
5.196152,5.196152,1
4.330127,4.330127,1
4.503332,4.503332,1
5.196152,5.196152,1
4.503332,4.503332,1
3.983717,3.983717,1
4.676537,4.676537,1
5.196152,5.196152,1
5.022947,5.022947,1
5.022947,5.022947,1
4.330127,4.330127,1
4.849742,4.849742,1
5.715768,5.715768,2
4.676537,4.676537,2
5.196152,5.196152,2
5.022947,5.022947,2
5.196152,5.196152,2
5.196152,5.196152,2
4.330127,4.330127,2
5.022947,5.022947,2
4.330127,4.330127,2
6.235383,6.235383,2
5.542563,5.542563,2
4.676537,4.676537,2
5.196152,5.196152,2
4.330127,4.330127,2
4.849742,4.849742,2
5.542563,5.542563,2
5.196152,5.196152,2
6.581793,6.581793,2
4.503332,4.503332,2
3.810512,3.810512,2
5.542563,5.542563,2
4.849742,4.849742,2
4.849742,4.849742,2
4.676537,4.676537,2
5.715768,5.715768,2
5.542563,5.542563,2
4.849742,4.849742,2
5.196152,5.196152,2
4.849742,4.849742,2
5.196152,5.196152,2
4.849742,4.849742,2
6.581793,6.581793,2
4.849742,4.849742,2
4.849742,4.849742,2
4.503332,4.503332,2
5.196152,5.196152,2
5.888973,5.888973,2
5.369358,5.369358,2
5.196152,5.196152,2
5.369358,5.369358,2
5.369358,5.369358,2
5.369358,5.369358,2
4.676537,4.676537,2
5.542563,5.542563,2
5.715768,5.715768,2
5.196152,5.196152,2
4.330127,4.330127,2
5.196152,5.196152,2
5.888973,5.888973,2
5.196152,5.196152,2
